,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
239,"Lewis, Kyle",SEA,0.0,3.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0
240,"Vogelbach, Daniel",SEA,0.0,0.0,0.0,2.0,4.0,7.0,2.0,2.0,0.0
241,"Nola, Austin",SEA,0.0,1.0,0.0,0.0,22.0,2.0,1.0,0.0,0.0
242,"Marmolejos, José",SEA,0.0,0.0,0.0,2.0,6.0,16.0,3.0,3.0,0.0
243,"Crawford, J.P.",SEA,48.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
244,"Smith, Mallex",SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0
245,"Strange-Gordon, Dee",SEA,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,10.0
246,"Lopes, Tim",SEA,0.0,3.0,0.0,0.0,3.0,5.0,14.0,7.0,6.0
247,"Hudson, Joe",SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
248,"Moore, Dylan",SEA,5.0,26.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
249,"Odom, Joseph",SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
250,"Haggerty, Sam",SEA,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
251,"Bishop, Braden",SEA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0
252,"Fraley, Jake",SEA,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0
253,"Walton, Donovan",SEA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
254,"France, Ty",SEA,0.0,8.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0
255,"Torrens, Luis",SEA,0.0,0.0,0.0,0.0,2.0,5.0,5.0,3.0,1.0
256,"Ervin, Phillip",SEA,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,6.0
257,"Villar, Jonathan",MIA,22.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0
258,"Aguilar, Jesús",MIA,0.0,12.0,26.0,10.0,1.0,1.0,0.0,0.0,0.0
259,"Dickerson, Corey",MIA,21.0,2.0,12.0,9.0,1.0,1.0,5.0,0.0,0.0
260,"Ramirez, Harold",MIA,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
261,"Anderson, Brian",MIA,0.0,0.0,3.0,18.0,37.0,0.0,0.0,0.0,0.0
262,"Cooper, Garrett",MIA,0.0,1.0,11.0,2.0,8.0,11.0,0.0,0.0,0.0
