,player,realised_curr,realised_prev,mean_pos_curr,mean_pos_prev,ngames_curr,ngames_prev,volatility,curr_projection,future_projection
212,Amed Rosario,588.0,396.90000000000003,2.786764705882353,6.783783783783784,136.0,99.9,0.023675631057504712,449.6423378378379,594.6954191176471
213,Austin Hedges,312.0,224.10000000000002,8.349397590361447,8.0,83.0,8.100000000000001,0.009975645554103966,348.1795,387.8022108433735
214,Daniel Johnson,81.0,35.1,6.956521739130435,6.75,23.0,10.8,0.015969596723377444,269.16075,81.0
215,Harold Ramirez,361.0,29.700000000000003,5.387096774193548,4.666666666666667,93.0,8.100000000000001,0.01303940082989684,292.2628333333333,448.9903064516129
216,Rene Rivera,78.0,10.8,8.4375,9.0,16.0,2.7,0.017578125,229.1445,78.0
217,Bradley Zimmer,348.0,135.0,5.7023809523809526,7.153846153846154,84.0,35.1,0.004943638643272343,314.1091153846154,438.5855119047619
218,Ryan Lavarnway,30.0,29.700000000000003,7.5,7.333333333333333,8.0,8.100000000000001,0.007619598765432098,259.2361666666667,30.0
219,Oscar Mercado,238.0,251.10000000000002,6.696428571428571,8.307692307692308,56.0,70.2,0.007411649324424051,357.86873076923075,238.0
220,Myles Straw,638.0,232.20000000000002,7.301075268817204,5.684210526315789,93.0,51.300000000000004,0.0036712915855429567,380.910552631579,563.7856827956989
221,Wilson Ramos,163.0,418.5,5.666666666666667,7.315789473684211,9.0,102.60000000000001,0.010793919496597242,453.85344736842103,163.0
222,Ty France,650.0,418.5,3.271523178807947,3.739130434782609,151.0,62.1,0.008025530815505619,498.1503695652174,619.6916854304636
223,Kyle Seager,670.0,669.6,3.286624203821656,3.847457627118644,157.0,159.3,0.018481683998822416,622.3587372881357,629.5046592356688
224,Evan White,104.0,545.4000000000001,5.678571428571429,5.961538461538462,28.0,140.4,0.005680674636718592,534.0758461538462,104.0
225,Dylan Moore,377.0,429.3,7.4411764705882355,2.6666666666666665,102.0,97.2,0.019949740365766255,516.8328333333334,431.5505294117647
226,Jake Fraley,265.0,78.30000000000001,6.311475409836065,7.571428571428571,61.0,18.900000000000002,0.008463333375991264,280.5873571428572,265.0
227,J.P. Crawford,687.0,626.4000000000001,3.0253164556962027,1.3962264150943395,158.0,143.10000000000002,0.002118955730411835,631.1172358490567,641.2409556962025
228,Luis Torrens,378.0,210.60000000000002,6.150537634408602,6.75,93.0,43.2,0.0007451086188512481,356.91075,448.03509139784944
