,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
179,178,Chad Pinder,OAK,10,38,38,9,5,2,0,2,6,6,0,0,15,0,0,0,0,1,0,.237
180,179,Randy Arozarena,TBR,9,38,38,9,5,4,0,0,2,2,0,0,10,0,0,0,1,0,0,.237
181,180,Justin Turner,LAD,9,34,38,8,7,1,0,0,5,5,4,0,8,0,0,0,1,0,0,.235
182,181,Trey Mancini,BAL,9,34,38,8,5,3,0,0,1,1,3,0,10,0,1,0,0,0,0,.235
183,182,Cristian Pache,OAK,10,34,34,8,6,1,0,1,6,4,0,0,7,0,0,0,0,0,0,.235
184,183,Andres Gimenez,CLE,8,17,17,4,2,0,1,1,2,3,0,0,4,0,0,0,0,0,0,.235
185,184,Ha-seong Kim,SDP,7,17,21,4,3,0,1,0,7,1,3,0,4,1,0,0,0,1,0,.235
186,185,Jurickson Profar,SDP,10,30,37,7,3,1,0,3,3,9,5,0,7,1,1,0,1,0,0,.233
187,186,Patrick Wisdom,CHC,9,30,34,7,2,5,0,0,3,6,3,0,12,0,1,0,1,0,1,.233
188,187,Austin Nola,SDP,9,30,37,7,6,0,0,1,5,7,3,0,4,2,2,0,0,1,0,.233
189,188,Alex Bregman,HOU,9,30,36,7,5,0,0,2,4,7,5,0,5,0,1,0,1,0,0,.233
190,189,Ben Gamel,PIT,9,26,32,6,4,1,0,1,6,5,6,0,6,0,0,0,0,1,0,.231
191,190,Tomas Nido,NYM,4,13,14,3,3,0,0,0,1,0,0,0,5,0,0,1,1,0,0,.231
192,191,Mitch Garver,TEX,8,26,34,6,5,0,0,1,4,3,7,0,7,0,1,0,0,0,0,.231
193,192,Luis Torrens,SEA,4,13,14,3,3,0,0,0,2,0,1,0,4,0,0,0,0,0,0,.231
194,193,J.D. Davis,NYM,6,13,16,3,2,1,0,0,2,1,3,0,5,0,0,0,2,1,0,.231
195,194,Pete Alonso,NYM,10,39,45,9,3,3,0,3,7,14,1,0,9,3,2,0,2,0,0,.231
196,195,Keston Hiura,MIL,6,13,16,3,3,0,0,0,2,0,3,0,5,0,0,0,0,1,0,.231
197,196,Keibert Ruiz,WSN,8,35,35,8,6,2,0,0,2,2,0,0,4,0,0,0,1,0,0,.229
198,197,Gio Urshela,MIN,8,22,24,5,4,0,0,1,3,2,2,0,3,0,0,0,2,0,0,.227
199,198,Shohei Ohtani,LAA,10,44,45,10,5,2,0,3,9,7,1,0,15,0,0,0,0,2,1,.227
200,199,Matt Chapman,TOR,10,31,36,7,4,1,0,2,2,7,5,0,11,0,0,0,0,0,0,.226
201,200,Christian Bethancourt,OAK,3,9,9,2,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,.222
202,201,Eloy Jimenez,CHW,8,27,30,6,5,0,0,1,2,7,2,0,7,0,1,0,0,0,0,.222
203,202,Bo Bichette,TOR,10,45,45,10,7,2,0,1,5,1,0,0,11,0,0,0,0,0,0,.222
204,203,Wil Myers,SDP,8,32,33,7,5,2,0,0,2,3,1,0,12,0,0,0,1,0,0,.219
205,204,Robinson Cano,NYM,6,23,24,5,4,0,0,1,3,3,1,0,5,0,0,0,0,0,0,.217
206,205,Michael A. Taylor,KCR,8,23,26,5,4,0,0,1,4,3,3,0,5,0,0,0,0,0,0,.217
207,206,Jackie Bradley Jr.,BOS,9,23,26,5,2,3,0,0,2,4,3,0,5,0,0,0,0,0,1,.217
208,207,Kevin Newman,PIT,6,23,26,5,1,3,1,0,1,5,3,0,5,0,0,0,2,0,1,.217
209,208,Bryce Harper,PHI,10,37,45,8,2,4,0,2,9,9,6,0,11,1,1,0,3,1,0,.216
210,209,Brandon Crawford,SFG,8,28,31,6,4,1,0,1,3,1,3,1,5,0,0,0,3,0,0,.214
211,210,Isiah Kiner-Falefa,NYY,9,28,30,6,4,2,0,0,4,0,2,0,7,0,0,0,2,0,0,.214
212,211,Mauricio Dubon,SFG,5,14,15,3,2,1,0,0,2,2,0,0,1,0,1,0,0,0,0,.214
213,212,Ozzie Albies,ATL,11,42,49,9,3,2,0,4,6,8,5,0,11,1,1,0,0,0,1,.214
214,213,Anthony Rizzo,NYY,10,33,42,7,3,1,0,3,4,8,5,1,7,4,0,0,0,0,0,.212
